EC_lag1,EC_lag2,EC_lag3,EC_roll3_mean,EC_roll3_std,EC_roll7_mean,EC_roll7_std,pH_lag1,Turbidity_lag1
740.0,739.0,684.0,721.0,32.046840717924255,743.7142857142857,49.067009574371134,7.291165645381699,63.2606259958562
696.0,740.0,739.0,725.0,25.119713374161105,737.2857142857143,52.32180643452047,6.862163584597066,44.31386690070389
674.0,696.0,740.0,703.3333333333334,33.60555509634296,726.4285714285714,56.92643540235982,7.151436071787404,120.0
824.0,674.0,696.0,731.3333333333334,81.00205758703504,723.8571428571429,50.92618374153112,6.343591873062175,47.07289660709502
735.0,824.0,674.0,744.3333333333334,75.43429812315708,727.4285714285714,50.668389695013126,8.01720053146144,45.80763823836687
687.0,735.0,824.0,748.6666666666666,69.51498639382257,727.8571428571429,50.25079956719948,7.919045004801035,24.20561507433314
761.0,687.0,735.0,727.6666666666666,37.541088600802915,731.0,51.730068625510235,7.231454980146722,62.51935787188793
715.0,761.0,687.0,721.0,37.36308338453882,727.4285714285714,51.867964238879786,8.256627076498008,55.05330265070261
709.0,715.0,761.0,728.3333333333334,28.448784391135852,729.2857142857143,50.77635370167981,7.619299521987939,79.45995480547117
745.0,709.0,715.0,723.0,19.287301521985974,739.4285714285714,44.608882310055456,6.337555536269668,10.40247791417266
662.0,745.0,709.0,705.3333333333334,41.62130864513197,716.2857142857143,34.23796277873575,7.52389477692195,13.74875175964817
736.0,662.0,745.0,714.3333333333334,45.544849690534015,716.4285714285714,34.33102165125656,6.241347451644839,12.04687184631915
806.0,736.0,662.0,734.6666666666666,72.00925866396167,733.4285714285714,45.10305659581968,8.016285040635639,61.50770502192694
741.0,806.0,736.0,761.0,39.05124837953338,730.5714285714286,43.67629846517498,7.119436225699179,89.06656902651325
703.0,741.0,806.0,750.0,52.08646657242175,728.8571428571429,44.614753058558875,6.989082177451534,12.83607183346212
697.0,703.0,741.0,713.6666666666666,23.860706890897866,727.1428571428571,45.7217255850672,6.509861299761365,14.16291970105451
702.0,697.0,703.0,700.6666666666666,3.214550253665385,721.0,45.8112067802919,8.34869084229901,42.94002252933423
709.0,702.0,697.0,702.6666666666666,6.0277137733422865,727.7142857142857,38.59928447399977,7.018384962729243,21.13516934728677
703.0,709.0,702.0,704.6666666666666,3.785938897201118,723.0,39.42503434790299,6.753884737935127,67.78821859080549
761.0,703.0,709.0,724.3333333333334,31.895663237081926,716.5714285714286,24.46669261708747,6.827491473385341,0.5
642.0,761.0,703.0,702.0,59.50630218724741,702.4285714285714,34.534316956022735,7.681898780675609,0.5
